"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","ONI","ONI_C","ONI_sub","semeadura","ano_semeadura","colheita","ano_colheita","anom.1","anom.2","anom.3","anom.4","anom.5","anom.6"
"302", 302,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",3,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"303", 303,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",3,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"304", 304,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",3,2020-01-08,2020-04-07,"19/20", 2.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"305", 305,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 23","chc",3,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 3.0,NA,NA,NA,1.0,NA,1.0,NA,3.0,3.0,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"306", 306,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",3,2020-01-08,2020-04-07,"19/20", 2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"307", 307,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FP 403","p",3,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"308", 308,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",3,2020-01-08,2020-04-07,"19/20", 5.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,1.0,1.0,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"309", 310,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Quero-quero","chc",3,2020-01-08,2020-04-07,"19/20", 2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"310", 311,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFp 119","p",3,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"311", 312,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",3,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"312", 313,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",3,2020-01-08,2020-04-07,"19/20",10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"313", 314,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Intr<e9>pido","p",3,2020-01-08,2020-04-07,"19/20", 5.0,NA,NA,NA,NA,NA,NA,NA,NA,3.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"314", 315,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",3,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"315", 316,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Quero-quero","chc",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"316", 317,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tangar<e1>","chc",4,2020-01-08,2020-04-07,"19/20", 2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"317", 318,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC 97-2","chc",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 5.0,NA,NA,NA,2.0,NA,2.0,NA,3.0,5.0,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"318", 319,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Veloz","p",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 5.0,NA,NA,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"319", 320,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC 1850","chc",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 5.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"320", 321,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",4,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"321", 322,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tuiui<fa>","p",4,2020-01-08,2020-04-07,"19/20", 2.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"322", 323,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 23","chc",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 2.0,NA,NA,NA,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"323", 324,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",4,2020-01-08,2020-04-07,"19/20",10.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"324", 325,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",4,2020-01-08,2020-04-07,"19/20", 5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"325", 326,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",4,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"326", 327,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 5.0,NA,NA,NA,1.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"327", 328,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Paisano","p",4,2020-01-08,2020-04-07,"19/20", 7.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,2.0,3.0,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"328", 329,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC 1849","chc",4,2020-01-08,2020-04-07,"19/20",10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"329", 330,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"330", 331,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",4,2020-01-08,2020-04-07,"19/20", 7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"331", 332,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"332", 333,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Sabi<e1>","chc",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"333", 334,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFp 119","p",4,2020-01-08,2020-04-07,"19/20", 5.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"334", 335,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Intr<e9>pido","p",4,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"335", 336,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",4,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"336", 337,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",4,2020-01-08,2020-04-07,"19/20", 7.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"337", 338,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FP 403","p",4,2020-01-08,2020-04-07,"19/20", 2.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"338", 339,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",4,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"339", 340,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 204 Predileto","p",4,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"340", 341,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",4,2020-01-08,2020-04-07,"19/20", 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"341", 342,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",4,2020-01-08,2020-04-07,"19/20", 1.0,NA,NA,NA,NA, 3.0,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"342", 343,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Madrep<e9>rola","chc",4,2020-01-08,2020-04-07,"19/20", 7.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,34","Neutro","Neutro","J",2020,"A",2020, 0.50, 0.48,-0.08, 0.40, 0.19,-0.08
"343", 344,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFc 9","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"344", 345,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFp119","p",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"345", 346,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Esteio","p",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"346", 347,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Estilo","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"347", 348,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 104","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"348", 349,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 402","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"349", 350,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FP 403","p",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"350", 351,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","GEN 49-4-4 DA 940","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"351", 352,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1849","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"352", 353,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1850","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"353", 354,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 2051","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"354", 355,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC Veloz","p",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"355", 356,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Bem-te-vi","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"356", 357,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Campos Gerais","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"357", 358,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Curi<f3>","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"358", 359,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Quero-quero","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"359", 360,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Sabi<e1>","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"360", 361,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Tangar<e1>","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"361", 362,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Tuiui<fa>","p",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"362", 363,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Uirapuru","p",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"363", 364,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Urutau","p",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"364", 365,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","Marhe","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"365", 366,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 204 Predileto","p",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"366", 367,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 205 Riqueza","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"367", 368,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","TAA Dama","chc",1,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"368", 369,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 104","chc",2,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"369", 370,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1849","chc",2,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
"370", 371,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","Marhe","chc",2,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021, 0.50,-1.27,-1.19,-0.93,-0.84,-0.66
